"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2021012101001",2021-01-21,2021-02-24,"Hong Kong","2883:HK",9.69,"closed",8.9,NA,-0.0815273477812176,2021-02-25
"G2021012101002",2021-01-21,2021-02-24,"Hong Kong","297:HK",1.03,"closed",NA,NA,NA,2021-02-25
"G2021012101003",2021-01-21,2021-02-24,"Hong Kong","503:HK",2,"closed",1.71,NA,-0.145,2021-02-25
"G2021012201005",2021-01-22,2021-02-24,"Japan","1419:JP",1899,"closed",1844,NA,-0.0289626119010006,2021-02-25
"G2021012201006",2021-01-22,2021-02-24,"Japan","2927:JP",1091,"closed",961.5,NA,-0.118698441796517,2021-02-25
"G2021012201007",2021-01-22,2021-02-24,"Japan","6323:JP",8670,"closed",7460,NA,-0.139561707035755,2021-02-25
"G2021012201008",2021-01-22,2021-02-24,"Japan","6627:JP",1006,"closed",1078,NA,0.0715705765407555,2021-02-25
"G2021012201009",2021-01-22,2021-02-24,"Japan","7004:JP",674,"closed",698,NA,0.0356083086053411,2021-02-25
"G2021012503001",2021-01-25,2021-02-24,"Canada","BLX:CN",54.91,"closed",42.049999,NA,-0.234201438717902,2021-02-25
"G2021012503002",2021-01-25,2021-02-24,"United States","ACIA:US",114.405,"closed",114.93,NA,0.00458896027271538,2021-02-25
"G2021012503003",2021-01-25,2021-02-24,"United States","CEVA:US",66.75,"closed",70.089996,NA,0.050037393258427,2021-02-25
"G2021012503004",2021-01-25,2021-02-24,"United States","ROCK:US",95.03,"closed",97.720001,NA,0.0283068609912658,2021-02-25
"G2021012602001",2021-01-26,2021-02-24,"Germany","VVV3:GR",50,"closed",NA,NA,NA,2021-02-25
